t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
24664152,0.7000,0.0200,0.0100,0.00,0.4000,0.06,1.8080,0.0000,0.0120,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48172148,0.7000,0.0200,0.0100,0.00,0.3200,0.05,1.8080,0.0000,0.0096,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71680148,0.7000,0.0200,0.0100,0.00,0.2560,0.04,1.8080,0.0000,0.0077,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95188148,0.7000,0.0200,0.0100,0.00,0.2048,0.03,1.8080,0.0000,0.0061,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118696156,0.7000,0.0200,0.0100,0.00,0.1638,0.02,1.8080,0.0000,0.0049,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142204148,0.7000,0.0200,0.0100,0.00,0.1311,0.02,1.8080,0.0000,0.0039,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165712148,0.7000,0.0200,0.0100,0.00,0.1049,0.02,1.8080,0.0000,0.0031,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189220156,0.7000,0.0200,0.0100,0.00,0.0839,0.01,1.8080,0.0000,0.0025,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212728160,0.7000,0.0200,0.0100,0.00,0.0671,0.01,1.8080,0.0000,0.0020,0.00,0.00,0.00,0.00,0.00,0.00,0.00
236236156,0.7000,0.0200,0.0100,0.00,0.0537,0.01,1.8080,0.0000,0.0016,0.00,0.00,0.00,0.00,0.00,0.00,0.00
